,Text,Label
0,Intravenous azithromycin-induced ototoxicity.,ADE-related
1,"Immobilization, while Paget's bone disease was present, and perhaps enhanced activation of dihydrotachysterol by rifampicin, could have led to increased calcium-release into the circulation.",ADE-related
2,Unaccountable severe hypercalcemia in a patient treated for hypoparathyroidism with dihydrotachysterol.,ADE-related
3,METHODS: We report two cases of pseudoporphyria caused by naproxen and oxaprozin.,ADE-related
4,"Naproxen, the most common offender, has been associated with a dimorphic clinical pattern: a PCT-like presentation and one simulating erythropoietic protoporphyria in the pediatric population.",ADE-related
5,RESULTS: A 44-year-old man taking naproxen for chronic low back pain and a 20-year-old woman on oxaprozin for rheumatoid arthritis presented with tense bullae and cutaneous fragility on the face and the back of the hands.,ADE-related
6,BACKGROUND: How to best treat psychotic patients who have had past clozapine-induced agranulocytosis or granulocytopenia remains a problem.,ADE-related
7,CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,ADE-related
8,Prolonged severe 5-fluorouracil-associated neurotoxicity in a patient with dihydropyrimidine dehydrogenase deficiency.,ADE-related
9,"We describe the side effects of 5-FU in a colon cancer patient who suffered severe mucositis, desquamating dermatitis, prolonged myelosuppression, and neurologic toxicity that required admission to the intensive care unit.",ADE-related
10,"This case suggests that BH-AC, a derivative of cytosine arabinoside (1-beta-D-arabinofuranosylcytosine) could be a cause of reversible encephalopathy syndrome.",ADE-related
11,"We report a case of reversible encephalopathy syndrome in a 16-year-old girl with acute myelogenous leukemia (AML), who is undergoing during consolidation chemotherapy composed of BH-AC (N4-behenoyl-1-beta-D-arabinofuranosyl cytosine) and idarubicin.",ADE-related
12,"In one case, the readministration of riluzole was followed by the relapse of hepatitis.",ADE-related
13,"We report the cases of two patients who developed acute hepatitis after taking riluzole at the recommended dose (100 mg daily) for 7 and 4 weeks, respectively.",ADE-related
14,Lupus-like syndrome caused by 5-aminosalicylic acid in patients with inflammatory bowel disease.,ADE-related
15,"Although the two local anesthetics usually do not cause methemoglobinemia, we suspect that the displacement of lidocaine from protein binding by bupivacaine, in combination with metabolic acidosis and treatment with other oxidants, was the reason for the development of methemoglobinemia.",ADE-related
16,Methemoglobinemia after axillary block with bupivacaine and additional injection of lidocaine in the operative field.,ADE-related
17,We report a patient with chronic renal failure and ischemic heart disease who developed clinically significant methemoglobinemia after an axillary block with bupivacaine and additional injection of lidocaine in the operative field.,ADE-related
18,Detection of activated eosinophils in nasal polyps of an aspirin-induced asthma patient.,ADE-related
19,An episode of subacute encephalopathy after the infusion of a moderate dose of methotrexate (1500 mg/m2) (MTX) is reported in a young adult with metastastic gastric cancer.,ADE-related
20,"We believe that this represents an unusual case of moderate-dose MTX-induced neurotoxicity in a patient with gastric cancer, which has not previously been reported.",ADE-related
21,We describe a life threatening side effect of acute epoprostenol infusion (pulmonary edema) in a patient with pulmonary hypertension associated with limited scleroderma and discuss its management and potential etiology.,ADE-related
22,A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,ADE-related
23,Hydroxyurea-induced acute interstitial pneumonitis in a patient with essential thrombocythemia.,ADE-related
24,The clinical course suggests that the interstitial pneumonitis was induced by hydroxyurea.,ADE-related
25,This is the first case of hydroxyurea-induced acute interstitial pneumonitis reported in the literature.,ADE-related
26,Allergic and irritant contact dermatitis to calcipotriol.,ADE-related
27,"Calcipotriol (Daivonex R; Leo Pharmaceuticals, Zurich, Switzerland) may cause irritation of the skin, whereas allergic reactions are less common.",ADE-related
28,"The present observation suggests, that a batch of different testing doses, including lower testing doses may help to differentiate between an allergic type of contact dermatitis and an irritant type of reaction after treatment with calcipotriol.",ADE-related
29,Myotonia associated with sarcoidosis: marked exacerbation with pravastatin.,ADE-related
30,Pravastatin is associated with myotonia in animals.,ADE-related
31,"This case suggests that sarcoidosis and pravastatin, two entities not frequently associated with myotonia, may interact in a synergistic manner to produce severe clinical myotonia in humans.",ADE-related
32,"Hypersensitivity to aspirin can be manifested as acute asthma, urticaria and/or angioedema, or a systemic anaphylactoid reaction.",ADE-related
33,CONCLUSION: Fixed drug eruption is associated with many drugs but this is the first such report with omeprazole.,ADE-related
34,Fixed drug eruption in hands caused by omeprazole.,ADE-related
35,The objective of this report is to describe a case of fixed drug eruption that occurred during omeprazole treatment.,ADE-related
36,"A 26-year-old Japanese man, who had been receiving medical attention for ulcerative colitis for one year, presented with diffuse erythema and pustules on his face and trunk, malaise, and fever up to 39 degrees C one day after the administration of salazosulfapyridine.",ADE-related
37,Acute generalized exanthematous pustulosis induced by salazosulfapyridine in a patient with ulcerative colitis.,ADE-related
38,We report a case of acute generalized exanthematous pustulosis (AGEP) induced by salazosulfapyridine in a patient with ulcerative colitis.,ADE-related
39,CASE SUMMARY: A 39-year-old white Jewish schizophrenic man treated with olanzapine developed an elevated serum CK concentration with a peak concentration of 4000 IU/L (normal < 230).,ADE-related
40,"DISCUSSION: Olanzapine, like other atypical antipsychotic drugs, may cause muscle injury with concomitant elevations of serum CK of muscle origin.",ADE-related
41,Marked elevation of serum creatine kinase associated with olanzapine therapy.,ADE-related
42,OBJECTIVE: To report a case of marked elevation of serum creatine kinase (CK) associated with olanzapine therapy.,ADE-related
43,Diclofenac-associated hepatitis.,ADE-related
44,"This patient, who had a history of osteoarthritis, had severe hepatitis 5 weeks after being started on diclofenac for increasing pain in the joints.",ADE-related
45,"2-CdA induces lymphocytopenia, which may explain the improvement in this patient's psoriasis.",ADE-related
46,One case of priapism occurred during heparin therapy for a previous surgical operation to the knee is reported.,ADE-related
47,Priapism as a complication of heparin therapy.,ADE-related
48,The association between heparin and priapism is often recognized; abnormal platelet aggregation could play a role in the pathogenesis of this side effect.,ADE-related
